cell,hotel,image_number,source_file,source_zip
1,Boscolo Nice Hôtel & Spa,1,86d416f6.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
2,Hotel 64 Nice,3,b950b22f.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
3,Hotel Amour Nice,1,b1c764ff.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
4,Hotel Beau Rivage,4,dbd978c3.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
5,Hotel Byakko Nice,1,4f053be5.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
6,Hotel Florence Nice,4,d3e6f0dd.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
7,Hotel West End Nice Promenade,5,9c4947b9.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
8,Hôtel Aston La Scala,1,215451cb.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
9,Hôtel KHLA Nice,1,2b58cbba.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
10,Hôtel Le Grimaldi by Happyculture,3,8cf11b3f.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
11,AC Hotel by Marriott Ambassadeur Antibes,1,1d8b5f3b.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
12,Hotel Josse,3,322053ea.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
13,Hotel Mademoiselle,5,fb49ea54.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
14,Hôtel Le Pré Catelan,5,e5d585e3.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
15,Royal Antibes,1,328e39c0.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
16,Canopy by Hilton Cannes,2,3c3214cd.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
17,Hôtel Barrière Le Gray d'Albion,4,e88fd8d6.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
18,JW Marriott Cannes,1,7a2e0c5c.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
19,Mondrian Cannes,2,3668db0f.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
20,OKKO Hotels Cannes Centre,1,1971f002.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
21,Hôtel Le Provençal,4,f13e5143.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
22,Le Versailles,1,1d676a5f.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
23,Columbus Hotel Monte-Carlo,1,301edabe.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
24,Fairmont Monte Carlo,1,1d36ec18.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
25,Hotel Novotel Monte Carlo,2,40808ba1.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
26,Hotel Port Palace,3,a9f0d1c2.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
27,Best Western Hotel Mediterranee Menton,2,5308669a.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
28,Hotel Riva Art & Spa,5,e6365043.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
29,Hôtel Vacances Bleues Royal Westminster,1,2637c8bb.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
30,Princess et Richmond,2,6faa47dc.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
31,Hotel Le Hameau,5,ac806c2f.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
32,Les Vergers de Saint-Paul,4,e6edb9df.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
33,Fondation Maeght (kept current),0,kept current,existing
34,Hotel Marcellin,2,5c88c7ec.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
35,Hôtel Carlton,1,1f95e0f2.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
36,Hôtel Royal Mougins,2,4848e753.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
37,Hôtel les Liserons de Mougins,3,7f36e57c.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
38,La Bastide de Mougins,2,85545f06.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
39,La Lune de Mougins,3,a47d2fb4.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
40,Airelles Château de la Messardière,3,314573cc.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
41,Byblos Saint Tropez,2,6b8ad93d.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
42,Hôtel La Tartane Saint-Tropez,4,4708bd01.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
43,Hôtel de Paris Saint-Tropez,4,e9822394.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
44,La Bastide de Saint Tropez,5,ebdf9147.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
45,Hôtel & Spa Belle Plage,3,63453c6c.jpg,MAMETAS HOTELS 13 SEPT 2026.zip
