cell,hotel,image_number,source_file,source_zip
1,Domaine du Mas de Pierre,1,0a46c677.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
2,Five Seas Hotel Cannes,4,8e5b43dc.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
3,"Grand-Hotel du Cap-Ferrat, A Four Seasons Hotel",2,e76a710c.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
4,Hôtel Belles Rives,2,8c7fc993.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
5,Hôtel Comté de Nice,3,d1d8ab46.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
6,Hôtel de l'Étoile,1,011cb288.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
7,Hôtel de Provence,1,4975e1a2.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
8,Hôtel Frisia,1,01b3dc3c.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
9,Hôtel Hermitage Monte-Carlo,4,a928e089.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
10,Hotel Juana,3,e18c8701.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
11,Hôtel Le Sud,4,66545c57.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
12,Hôtel Les Messugues,2,551d0cd2.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
13,Hotel Verlaine,4,cc42a518.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
14,Hôtel Victoria,3,b573452e.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
15,Ibis Roquebrune Cap Martin Menton,3,ec54cdff.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
16,ibis Styles Beaulieu-sur-Mer,2,7be4e7ba.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
17,Kube Saint-Tropez Hôtel,2,aad3ac55.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
18,Hôtel La Ferme d'Augustin,2,10c007b7.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
19,Hotel La Grande Bastide,3,bf206b15.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
20,Hôtel La Ponche • Saint Tropez,2,c029448a.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
21,Hotel La Romarine,3,83797cb1.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
22,Le Mas Candille,2,d3dcc3b0.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
23,Le Saint Paul,1,0cc5e661.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
24,Hôtel Les Bastides Saint-Paul,2,6795b1bb.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
25,Hotel Les Palmiers,4,d37c58bf.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
26,Monte-Carlo Bay Hotel & Resort,4,fe386bca.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
27,Hotel Sezz Saint-tropez,2,3db042f3.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
28,Toile Blanche,2,6fad6da0.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
29,Hôtel Villa Marie Saint-Tropez,1,88d26b24.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
30,Hôtel Villa Sophia,2,3719bb47.jpg,MAMETAS HOTELS 12 SEPT 2026.zip
